obj,avg_cost,budget,avg_cost_normalized,setup_number,test_number,num_reps,num_candidates,num_training_samples,ratio,num_users_TSG,num_users_CELF,alpha,beta
max,1.0290987534945175,30.87296260483553,0.03333333333333333,1,1,10,154,50,0.9971410671969196,30,30,5,5
max,1.0249004931242651,30.747014793727953,0.03333333333333333,1,2,10,154,50,0.9922787877699,30,30,5,5
max,1.0272873773117221,30.81862131935166,0.03333333333333333,1,3,10,154,50,0.9994541888437544,29,29,5,5
max,1.0295258137627223,30.88577441288167,0.03333333333333333,1,4,10,154,50,0.9881854928694596,30,30,5,5
max,1.0280425037658665,30.841275112975982,0.03333333333333333,1,5,10,154,50,0.9879749185650368,29,29,5,5
max,1.0288543382160138,30.865630146480413,0.03333333333333333,1,6,10,154,50,0.9896293723673324,29,29,5,5
max,1.0294689991010142,30.884069973030424,0.03333333333333333,1,7,10,154,50,1.0011595367791737,30,30,5,5
max,1.028782604258256,30.86347812774768,0.03333333333333333,1,8,10,154,50,0.9704215736432988,29,29,5,5
max,1.0255872477704702,30.767617433114108,0.03333333333333333,1,9,10,154,50,0.9968085768170432,29,29,5,5
max,1.0285021022247378,30.85506306674214,0.03333333333333333,1,10,10,154,50,0.9936874564635708,29,29,5,5
max,3.0990045209756434,30.913858764577608,0.1002464475423758,2,1,10,154,50,1.0162517069639794,9,9,5,5
max,3.090068510261053,30.86036373973418,0.10013065744531208,2,2,10,154,50,1.0069946819030544,9,9,5,5
max,3.0903697734481788,30.862168446977392,0.1001345637380463,2,3,10,154,50,1.0453578584692629,9,9,5,5
max,3.101711303525967,30.93004817792746,0.10028148956261357,2,4,10,154,50,1.0048437442768177,9,9,5,5
max,3.086503251564467,30.838999756386823,0.10008441505711436,2,5,10,154,50,0.9990841122886116,9,9,5,5
max,3.1040746196100506,30.94417775370364,0.1003120730599646,2,6,10,154,50,1.0013499310747496,9,9,5,5
max,3.084352715293309,30.82610743983239,0.10005650961002684,2,7,10,154,50,1.0196721426605695,9,9,5,5
max,3.068391203032811,30.730284097325626,0.09984909977776107,2,8,10,154,50,0.9906840670148016,9,9,5,5
max,3.0903922789338387,30.862303261960808,0.10013485554536973,2,9,10,154,50,0.9995788557780974,9,9,5,5
max,3.0971297821379293,30.902641870055,0.1002221685499026,2,10,10,154,50,0.985877747074374,9,9,5,5
max,5.15096520995989,30.85872316148686,0.1669208794869561,3,1,10,154,50,1.0073252488350586,5,5,5,5
max,5.133905438370245,30.80190696431477,0.16667492192344058,3,2,10,154,50,0.9926625785186396,5,5,5,5
max,5.133152531893481,30.79939732329257,0.1666640576765912,3,3,10,154,50,0.9988190210050136,5,5,5,5
max,5.128284889741498,30.78316776632317,0.16659379985421285,3,4,10,154,50,0.9783764256153588,5,5,5,5
max,5.150229039158639,30.856273324078536,0.16691027413021012,3,5,10,154,50,1.0067340897721582,5,5,5,5
max,5.131754989355214,30.794738453927664,0.1666438894109423,3,6,10,154,50,0.9908375442184464,5,5,5,5
max,5.158897998228944,30.885111020275808,0.16703511264188664,3,7,10,154,50,1.0087875410315963,5,5,5,5
max,5.159758725066667,30.887972961737407,0.1670475019988633,3,8,10,154,50,0.9686389221833026,5,5,5,5
max,5.155977044965297,30.875397008342237,0.16699306064217415,3,9,10,154,50,0.9746409921093342,5,5,5,5
max,5.1376069313906365,30.814242399787673,0.1667283220770029,3,10,10,154,50,1.0187905389142975,5,5,5,5
max,7.169948913992164,30.76139824164403,0.2330826725647881,4,1,10,154,50,0.9487366099972944,4,4,5,5
max,7.23170497905427,30.90377319527921,0.2340071852507308,4,2,10,154,50,0.9756436180988078,4,4,5,5
max,7.201564998609843,30.834363071407186,0.2335564701606527,4,3,10,154,50,1.030315187038002,4,4,5,5
max,7.184413574953427,30.79480015241378,0.2332995680892669,4,4,10,154,50,1.049414319518017,4,4,5,5
max,7.177237899744857,30.77823420795712,0.23319199702136656,4,5,10,154,50,0.987770720171235,4,4,5,5
max,7.212745569780008,30.86012790780456,0.2337237742931033,4,6,10,154,50,0.9790939632751378,4,4,5,5
max,7.23632846882467,30.914408017052445,0.2340762425349726,4,7,10,154,50,0.9485742779651885,4,3,5,5
max,7.219691622215635,30.87612459840249,0.23382764890737545,4,8,10,154,50,0.9831941046354761,4,3,5,5
max,7.1905659203170345,30.8089970646601,0.2333917558311262,4,9,10,154,50,0.9950842032101068,4,4,5,5
max,7.192828106611724,30.814215679310692,0.2334256429392469,4,10,10,154,50,0.9897736016786368,4,4,5,5
max,9.296362457172227,30.899312465052372,0.3008598481822715,5,1,10,154,50,0.9989734344641282,3,3,5,5
max,9.307041888125577,30.91809612503827,0.3010224772730587,5,2,10,154,50,0.980015634863568,3,3,5,5
max,9.268299881364854,30.849902918203146,0.30043205989786265,5,3,10,154,50,1.0267406253712723,3,3,5,5
max,9.242733530423301,30.80482352173459,0.30004176209294026,5,4,10,154,50,0.9819177524937004,3,3,5,5
max,9.27496589326474,30.86164645358041,0.3005337355288348,5,5,10,154,50,0.9747615411022792,3,3,5,5
max,9.29158550950742,30.890906986522666,0.3007870734763867,5,6,10,154,50,0.9490997863747584,3,3,5,5
max,9.280757875741443,30.871846794290104,0.3006220501670138,5,7,10,154,50,0.9979849757010574,3,3,5,5
max,9.298766025011863,30.903540949741746,0.30089645843932245,5,8,10,154,50,0.9965842410071458,3,3,5,5
max,9.268502967216733,30.850260757369004,0.3004351580724589,5,9,10,154,50,1.0310576662238409,3,3,5,5
max,9.288120262553628,30.884808218350557,0.30073427028874944,5,10,10,154,50,0.9825644472440328,3,3,5,5
max,11.36000877906851,30.89511077807397,0.3676960040917097,6,1,10,154,50,1.0134994337628298,2,2,5,5
max,11.346043482623092,30.875212752569947,0.3674806574953458,6,2,10,154,50,1.0,2,2,5,5
max,11.325924959412761,30.846525998472558,0.3671701947886641,6,3,10,154,50,0.9604797855287722,2,2,5,5
max,11.331148181991509,30.85397616866468,0.3672508243361978,6,4,10,154,50,0.9669984807319012,2,2,5,5
max,11.332895440785627,30.85646799774,0.3672777921833334,6,5,10,154,50,1.0093770727661049,2,2,5,5
max,11.390088873427933,30.93792807284265,0.3681593947277344,6,6,10,154,50,1.0,2,2,5,5
max,11.375862082685881,30.9176840892904,0.3679403039966493,6,7,10,154,50,1.0,2,2,5,5
max,11.387635580596651,30.934438065147962,0.3681216240816878,6,8,10,154,50,0.9902825771697996,2,2,5,5
max,11.376771655945495,30.918978742550784,0.3679543153955713,6,9,10,154,50,1.0,2,2,5,5
max,11.319213783454455,30.83695096192956,0.3670665688520515,6,10,10,154,50,0.9838697858061336,2,2,5,5
max,13.38135332278436,30.841597021436936,0.4338735543909558,7,1,10,154,50,1.060859134529536,2,2,5,5
max,13.350898001371744,30.805077199911665,0.4333992709945239,7,2,10,154,50,0.9892893693794812,2,2,5,5
max,13.366526348888895,30.82382277412796,0.43364272001032,7,3,10,154,50,1.0526308985851178,2,2,5,5
max,13.37347303828321,30.832151535998026,0.43375088574889215,7,4,10,154,50,0.9969094573026386,2,2,5,5
max,13.386750602205437,30.848064719261004,0.43395755046659307,7,5,10,154,50,1.0094994842680358,2,2,5,5
max,13.434483999097786,30.905208298355642,0.4346996748704196,7,6,10,154,50,0.9854443161256612,2,2,5,5
max,13.450489069136779,30.924345918174016,0.4349482153875413,7,7,10,154,50,1.0219428678383262,2,2,5,5
max,13.404731518049084,30.869602323216352,0.4342372596088703,7,8,10,154,50,0.9808764810083156,2,2,5,5
max,13.340013602006024,30.792015328823233,0.4332296363050636,7,9,10,154,50,0.9904612520454956,2,2,5,5
max,13.390105170784276,30.85208392854197,0.4340097479897225,7,10,10,154,50,0.9544830048353368,2,2,5,5
max,15.435892126274972,30.83710820243668,0.5005622454914648,8,1,10,154,50,1.0,1,1,5,5
max,15.482134907500177,30.884854289100822,0.5012856710469823,8,2,10,154,50,1.0,1,1,5,5
max,15.490397641950517,30.893378133118947,0.501414820198772,8,3,10,154,50,1.0,1,1,5,5
max,15.465529313796218,30.86771707067225,0.5010260162223069,8,4,10,154,50,1.0,1,1,5,5
max,15.512010669647152,30.91566341959373,0.5017524760544505,8,5,10,154,50,1.0,1,1,5,5
max,15.507045068309345,30.9105447393264,0.5016749202928241,8,6,10,154,50,1.0,1,1,5,5
max,15.432953809445904,30.83407195181081,0.5005162416941029,8,7,10,154,50,1.0,1,1,5,5
max,15.43327458613383,30.834403433990012,0.5005212641513638,8,8,10,154,50,1.0,2,2,5,5
max,15.48799717790622,30.89090204639141,0.5013773037332032,8,9,10,154,50,1.0,1,1,5,5
max,15.446598587680528,30.84816906783415,0.5007298343611236,8,10,10,154,50,1.0,1,1,5,5
max,17.54728952841864,30.885300183312136,0.5681437261179589,9,1,10,154,50,1.0,1,1,5,5
max,17.572359311212455,30.908021747729816,0.5685371731208626,9,2,10,154,50,1.0,1,1,5,5
max,17.43657826882953,30.78476446916183,0.5664028479508542,9,3,10,154,50,1.0,1,1,5,5
max,17.49514450535915,30.837987440202717,0.5673244578390082,9,4,10,154,50,1.0,1,1,5,5
max,17.532929810049886,30.872278195872216,0.5679182371579604,9,5,10,154,50,1.0,1,1,5,5
max,17.405397997014134,30.756392486616964,0.5659115582098176,9,6,10,154,50,1.0,1,1,5,5
max,17.49459580443268,30.837489213142625,0.5673158305306082,9,7,10,154,50,1.0,1,1,5,5
max,17.464497368287365,30.810147501720646,0.5668423809821757,9,8,10,154,50,1.0,1,1,5,5
max,17.58276673218292,30.91744957702355,0.5687004255761653,9,9,10,154,50,1.0,1,1,5,5
max,17.54580690575395,30.88395592616689,0.568120448937955,9,10,10,154,50,1.0,1,1,5,5
max,19.634822309612673,30.903739995019226,0.6353542423272144,10,1,10,154,50,1.0,1,1,5,5
max,19.54368993511636,30.83000464639261,0.633917839431891,10,2,10,154,50,1.0,1,1,5,5
max,19.53578880842944,30.82360374738923,0.6337931465941625,10,3,10,154,50,1.0,1,1,5,5
max,19.54828848815349,30.833729453216527,0.6339904006037853,10,4,10,154,50,1.0,1,1,5,5
max,19.573555077212244,30.854187467773052,0.6343889333548863,10,5,10,154,50,1.0,1,1,5,5
max,19.603033506227913,30.87803908212048,0.6348535751928234,10,6,10,154,50,1.0,1,1,5,5
max,19.519140217156547,30.81011207448205,0.6335303217972694,10,7,10,154,50,1.0,1,1,5,5
max,19.4752289609574,30.774499697391054,0.6328365741916007,10,8,10,154,50,1.0,1,1,5,5
max,19.49967331531547,30.79432920718625,0.6332228633434551,10,9,10,154,50,1.0,1,1,5,5
max,19.70807896397347,30.962888185865026,0.6365064798112234,10,10,10,154,50,1.0,1,1,5,5
modular,1.0301301517192192,30.90390455157657,0.03333333333333333,1,1,10,154,50,0.9969732285292052,29,29,5,5
modular,1.0289494247785465,30.86848274335639,0.03333333333333333,1,2,10,154,50,0.9939107920174608,30,30,5,5
modular,1.0284917510878475,30.85475253263543,0.03333333333333333,1,3,10,154,50,1.001462009430404,29,29,5,5
modular,1.0263656033647588,30.79096810094277,0.03333333333333333,1,4,10,154,50,0.9993240037043114,29,29,5,5
modular,1.027343073620438,30.820292208613143,0.03333333333333334,1,5,10,154,50,1.0010924040647606,29,29,5,5
modular,1.026718156229204,30.80154468687612,0.03333333333333333,1,6,10,154,50,0.9886785408042876,29,29,5,5
modular,1.027917784687359,30.837533540620772,0.03333333333333333,1,7,10,154,50,0.9954212438520956,29,29,5,5
modular,1.0260824579621663,30.78247373886499,0.03333333333333333,1,8,10,154,50,0.9905009909027568,30,30,5,5
modular,1.0265574794513068,30.796724383539203,0.03333333333333333,1,9,10,154,50,0.9974000863067408,30,30,5,5
modular,1.0262389071676024,30.78716721502807,0.03333333333333333,1,10,10,154,50,0.99667895761535,29,29,5,5
modular,3.0875072008858995,30.845016886872486,0.10009743914907468,2,1,10,154,50,0.9945993293255956,9,9,5,5
modular,3.097650550557665,30.905758046665024,0.10022891352091998,2,2,10,154,50,1.0098718193334546,9,9,5,5
modular,3.097780512629139,30.90653567512452,0.10023059669940372,2,3,10,154,50,0.9916645564147492,9,9,5,5
modular,3.0895335618735764,30.85715894079325,0.10012372065106764,2,4,10,154,50,0.9832193793618136,9,9,5,5
modular,3.0922209527678532,30.873256022518355,0.1001585628193038,2,5,10,154,50,1.0,9,9,5,5
modular,3.0939494089626414,30.883605675736685,0.10018096466609673,2,6,10,154,50,0.9997907985239568,9,9,5,5
modular,3.08671638970734,30.840277269952153,0.10008718023799168,2,7,10,154,50,0.9884981377567936,9,9,5,5
modular,3.108376169809413,30.969882214094586,0.10036771042011816,2,8,10,154,50,1.0040472741899775,9,9,5,5
modular,3.0886425510048845,30.851820431261824,0.10011216543563166,2,9,10,154,50,1.0032390817910966,9,9,5,5
modular,3.0802434528516693,30.80146068940075,0.1000031616653696,2,10,10,154,50,0.996665173704278,9,9,5,5
modular,5.140981448284216,30.82548434490359,0.16677698850607614,3,1,10,154,50,1.0672396517183929,6,5,5,5
modular,5.1356237647005285,30.8076339302876,0.16669971398392902,3,2,10,154,50,1.0778305800765269,6,5,5,5
modular,5.153523413107481,30.867235034314408,0.16695772742127452,3,3,10,154,50,1.0576157775170276,6,5,5,5
modular,5.159004755956689,30.88546600559715,0.1670366493748794,3,4,10,154,50,1.0577455365117734,6,5,5,5
modular,5.150387123428566,30.856799413256173,0.16691255157253754,3,5,10,154,50,0.9085539119778407,5,5,5,5
modular,5.143104410937871,30.83255496538062,0.16680759725272998,3,6,10,154,50,1.0743963552290652,6,5,5,5
modular,5.158850726162578,30.88495383246616,0.16703443217517822,3,7,10,154,50,0.9070628341667928,5,5,5,5
modular,5.1626132931700806,30.89746279546593,0.16708858353015552,3,8,10,154,50,1.032354943743406,6,5,5,5
modular,5.172939441084249,30.931769806760286,0.167237098730564,3,9,10,154,50,1.0555038278292477,6,5,5,5
modular,5.115244883683895,30.73965261651206,0.1664054225823033,3,10,10,154,50,1.0879369144612792,6,5,5,5
modular,7.211479739373704,30.857211888063155,0.2337048390999772,4,1,10,154,50,1.222347594584848,4,3,5,5
modular,7.21207970623637,30.85859402847495,0.2337138140377161,4,2,10,154,50,1.3012546774997673,4,3,5,5
modular,7.201224306696844,30.833577658923105,0.2335513700795873,4,3,10,154,50,1.2108183896862181,4,3,5,5
modular,7.1881190498943806,30.80335148528393,0.23335509622478745,4,4,10,154,50,1.249883355364506,4,3,5,5
modular,7.2253648867540115,30.88918439615784,0.2339124527889037,4,5,10,154,50,0.9284715197280424,4,4,5,5
modular,7.196333931046129,30.82230161866497,0.2334781490389501,4,6,10,154,50,1.2498818655107091,4,3,5,5
modular,7.237931349466207,30.91809412978481,0.23410017833193605,4,7,10,154,50,1.1923135220627086,4,3,5,5
modular,7.204413262612009,30.840928580822002,0.2335991033386709,4,8,10,154,50,1.295115559796756,4,3,5,5
modular,7.201090995533463,30.833270325638146,0.2335493744089057,4,9,10,154,50,0.9892217001375068,4,4,5,5
modular,7.242105971947657,30.927692521974592,0.2341625055539476,4,10,10,154,50,0.9805045793881759,4,4,5,5
modular,9.263040206812377,30.840633961314243,0.30035180918886795,5,1,10,154,50,1.0379508301282512,3,3,5,5
modular,9.321487654991614,30.943487174671287,0.30124231320061723,5,2,10,154,50,0.9932660650275579,3,3,5,5
modular,9.218298748708202,30.7616812398536,0.2996682358428884,5,3,10,154,50,1.0163097330732462,3,3,5,5
modular,9.284729658704027,30.878839723122592,0.30068259500539035,5,4,10,154,50,0.9840194856459432,3,3,5,5
modular,9.240094436622574,30.80016665243903,0.3000014428782599,5,5,10,154,50,0.9921024769445276,3,3,5,5
modular,9.267786621342278,30.84899853183973,0.30042422971289817,5,6,10,154,50,1.0195768270467345,3,3,5,5
modular,9.288385772534136,30.885275550926004,0.3007383164582338,5,7,10,154,50,1.0212971764776395,3,3,5,5
modular,9.231556283151212,30.78509592929934,0.2998709604268341,5,8,10,154,50,1.0257591993849513,3,3,5,5
modular,9.261965270516873,30.838739312610503,0.300335405303987,5,9,10,154,50,0.9760011808741138,3,3,5,5
modular,9.23627802050266,30.793431141606675,0.2999431267671573,5,10,10,154,50,0.9843539796651648,3,3,5,5
modular,11.277441223487955,30.777289011460837,0.3664208767474117,6,1,10,154,50,1.1500873969033187,3,2,5,5
modular,11.322081564549887,30.84104285788847,0.3671108534403514,6,2,10,154,50,1.1687138451784522,3,2,5,5
modular,11.383822446904187,30.92901282906437,0.3680629094054586,6,3,10,154,50,1.1681719752442938,3,2,5,5
modular,11.28301509855364,30.78525630379992,0.3665071028549775,6,4,10,154,50,1.1102267060041568,3,2,5,5
modular,11.301320282623895,30.81140791549029,0.36679012895552265,6,5,10,154,50,1.2088182779369463,3,2,5,5
modular,11.304217806947571,30.81554551173501,0.3668349081356603,6,6,10,154,50,1.1710800333505271,3,2,5,5
modular,11.29250152221592,30.79881167657141,0.3666538060235001,6,7,10,154,50,1.1517010891782269,3,2,5,5
modular,11.336236307247288,30.861231994935764,0.3673293505945429,6,8,10,154,50,1.1976478529763357,3,2,5,5
modular,11.339620499327586,30.86605705941204,0.3673815699070567,6,9,10,154,50,1.2628889998789887,3,2,5,5
modular,11.293892818895529,30.800799255212397,0.3666753166148528,6,10,10,154,50,1.2230352416293586,3,2,5,5
modular,13.436208008480186,30.907270281656853,0.43472645387433134,7,1,10,154,50,0.9869340980410402,2,2,5,5
modular,13.374751457957508,30.83368406721575,0.4337707887517197,7,2,10,154,50,0.9316669729773404,2,2,5,5
modular,13.379390660284832,30.839244789949003,0.4338430059300735,7,3,10,154,50,1.0,2,2,5,5
modular,13.355003614802616,30.810002778455445,0.4334632395470404,7,4,10,154,50,0.9346944768130179,2,2,5,5
modular,13.377058172862403,30.836449102960497,0.4338066983068463,7,5,10,154,50,1.0326079486324202,2,2,5,5
modular,13.42950495515909,30.89925242343417,0.4346223258454653,7,6,10,154,50,0.995437699873842,2,2,5,5
modular,13.466175781520768,30.943091842623488,0.4351916689518202,7,7,10,154,50,1.0041255790058092,2,2,5,5
modular,13.325974282409186,30.77515952253797,0.4330107297299304,7,8,10,154,50,1.0383583161136225,2,2,5,5
modular,13.378063479927262,30.83765407986496,0.4338223473575537,7,9,10,154,50,0.9839776223476312,2,2,5,5
modular,13.404138125907213,30.868891786233426,0.43422803185584535,7,10,10,154,50,1.0220028225498112,2,2,5,5
modular,15.345111619920607,30.743168292661466,0.4991389135251735,8,1,10,154,50,1.795883183459528,2,1,5,5
modular,15.381167089672857,30.78051172610641,0.4997047231228244,8,2,10,154,50,0.991223495009536,2,2,5,5
modular,15.449614160686119,30.85128377084845,0.5007770268310373,8,3,10,154,50,1.8386242909565078,2,1,5,5
modular,15.390638346316585,30.790314060179693,0.4998532433360559,8,4,10,154,50,1.791571507356877,2,1,5,5
modular,15.406901490769016,30.807138674452705,0.5001081617341318,8,5,10,154,50,1.5930615915843265,2,1,5,5
modular,15.527762718092992,30.931895657206073,0.501998419048577,8,6,10,154,50,1.7835242695072906,2,1,5,5
modular,15.450781623718484,30.852489530010327,0.5007952959092474,8,7,10,154,50,1.8442939278250228,2,1,5,5
modular,15.554702544858785,30.95963767669061,0.5024187526771304,8,8,10,154,50,1.7436447680198293,2,1,5,5
modular,15.47571689637754,30.878231895477228,0.5011853317496551,8,9,10,154,50,1.6418196075200344,2,1,5,5
modular,15.475372979819019,30.87787698813127,0.5011799543656252,8,10,10,154,50,1.7695054828097374,2,1,5,5
modular,17.482102289948394,30.826142838198045,0.5671193565055939,9,1,10,154,50,1.569993881370916,2,1,5,5
modular,17.559862856350104,30.89669782738132,0.5683410879200228,9,2,10,154,50,1.5602946515854197,2,1,5,5
modular,17.501264309584915,30.84354376731769,0.5674206712955445,9,3,10,154,50,1.6209561030669382,2,1,5,5
modular,17.460998676185966,30.806967729248147,0.566787319986981,9,4,10,154,50,1.5994168037733587,2,1,5,5
modular,17.456657453494454,30.803021783677732,0.5667189919251556,9,5,10,154,50,1.5042955989338465,2,1,5,5
modular,17.536781902158967,30.875771955300593,0.5679787351567203,9,6,10,154,50,1.5024188972450636,2,1,5,5
modular,17.52951204241909,30.86917803776141,0.5678645547664314,9,7,10,154,50,1.457574021207096,2,1,5,5
modular,17.568757738680777,30.904758521228572,0.5684806670342609,9,8,10,154,50,1.5468377795342907,2,1,5,5
modular,17.53023369908684,30.869832656785693,0.5678758901607912,9,9,10,154,50,1.5396366787727247,2,1,5,5
modular,17.638676995790913,30.968049678277154,0.5695766178056649,9,10,10,154,50,1.5605602863674142,2,1,5,5
modular,19.565219040811247,30.84743935139741,0.6342574765423739,10,1,10,154,50,1.0,1,1,5,5
modular,19.533443562105933,30.821703556149174,0.6337561298816937,10,2,10,154,50,1.0,1,1,5,5
modular,19.59378004052539,30.87055384016055,0.6347077587910063,10,3,10,154,50,1.0,1,1,5,5
modular,19.594824899461184,30.87139912782026,0.6347242254337281,10,4,10,154,50,1.0,1,1,5,5
modular,19.64897308523842,30.91517406072617,0.6355769838669599,10,5,10,154,50,1.0,1,1,5,5
modular,19.626962124395305,30.897387053924504,0.63523048373446,10,6,10,154,50,1.0,1,1,5,5
modular,19.504126727151306,30.797940522588416,0.6332932136434972,10,7,10,154,50,1.0,1,1,5,5
modular,19.514569280708734,30.806406876544113,0.6334581426166602,10,8,10,154,50,1.0,1,1,5,5
modular,19.542627931045345,30.82914436573616,0.6339010807178038,10,9,10,154,50,1.0,1,1,5,5
modular,19.525417909281558,30.81520006091859,0.6336294384161629,10,10,10,154,50,1.0,1,1,5,5
CES-2,1.0285659226554675,30.85697767966403,0.03333333333333333,1,1,10,154,50,0.9984153743341092,30,30,5,5
CES-2,1.032204942717669,30.96614828153007,0.03333333333333333,1,2,10,154,50,0.9958303791198694,29,29,5,5
CES-2,1.0264612330473493,30.79383699142048,0.03333333333333333,1,3,10,154,50,0.992398483999092,29,29,5,5
CES-2,1.0266438240988038,30.79931472296411,0.03333333333333333,1,4,10,154,50,0.9960739425028858,29,29,5,5
CES-2,1.0269252335387675,30.80775700616303,0.03333333333333333,1,5,10,154,50,0.9983734331428492,29,29,5,5
CES-2,1.0305438389250048,30.91631516775013,0.03333333333333333,1,6,10,154,50,0.9966872072404134,29,29,5,5
CES-2,1.0311206255563854,30.93361876669157,0.03333333333333333,1,7,10,154,50,0.9970350041191784,29,29,5,5
CES-2,1.030966558745717,30.928996762371515,0.03333333333333333,1,8,10,154,50,0.9938213101277268,29,29,5,5
CES-2,1.0276329850485155,30.828989551455468,0.03333333333333333,1,9,10,154,50,0.9934916366448704,29,29,5,5
CES-2,1.0258549276487468,30.775647829462404,0.03333333333333333,1,10,10,154,50,1.0002417316949062,29,29,5,5
CES-2,3.0928806822028636,30.877206679303818,0.10016711402446714,2,1,10,154,50,1.0048708959509134,9,9,5,5
CES-2,3.0850260945325134,30.8301447658067,0.100065248410837,2,2,10,154,50,0.993056487489394,9,9,5,5
CES-2,3.0966173611421484,30.899575397245922,0.10021553116286996,2,3,10,154,50,0.994249501161962,9,9,5,5
CES-2,3.081189075217172,30.8071337903814,0.10001544110472163,2,4,10,154,50,0.9990586572949324,9,9,5,5
CES-2,3.0900139102359576,30.86003665103305,0.1001299494611105,2,5,10,154,50,1.0,9,9,5,5
CES-2,3.092788467142769,30.876654492321638,0.10016591881454902,2,6,10,154,50,0.998481126117458,9,9,5,5
CES-2,3.0958563300680373,30.895020721479515,0.10020567255731497,2,7,10,154,50,0.993354993237424,9,9,5,5
CES-2,3.092830766248303,30.87690778181575,0.10016646706020724,2,8,10,154,50,0.9895203839308164,9,9,5,5
CES-2,3.0948828252590603,30.88919363331768,0.10019305981237593,2,9,10,154,50,0.995065748103133,9,9,5,5
CES-2,3.0905297174619744,30.863126552024173,0.10013663755849388,2,10,10,154,50,0.9917003265905348,9,9,5,5
CES-2,5.132114599136888,30.795937314505164,0.16664907928357214,3,1,10,154,50,1.0,5,5,5,5
