obj,distribution,avg_cost,budget,avg_cost_normalized,num_setups,num_reps,num_items,num_samples,mean_ratio,std,25%-quantile,median,75%-quantile
CES-2,Bernoulli,1.0,30,0.03333333333333333,10,100,100,50,0.99772196534089,0.0031375696681185915,0.9952276503558946,0.9980527562301283,1.0
CES-2,Bernoulli,2.5,30,0.08333333333333333,10,100,100,50,1.0006271325644631,0.004912079460495747,0.9988163586757156,1.0,1.0035253288182808
CES-2,Bernoulli,4.0,30,0.13333333333333333,10,100,100,50,0.9996619920017188,0.005725799397511031,0.996658919976306,1.0,1.0022071916545847
CES-2,Bernoulli,5.5,30,0.18333333333333326,10,100,100,50,1.0010464410109599,0.0047291693832897065,1.0,1.0,1.0025403930872172
CES-2,Bernoulli,7.0,30,0.2333333333333333,10,100,100,50,1.0008317930545485,0.006519885612697336,1.0,1.0,1.0
CES-2,Bernoulli,8.5,30,0.2833333333333333,10,100,100,50,1.0009702493001027,0.006160623993772838,1.0,1.0,1.0007269730857042
CES-2,Bernoulli,10.0,30,0.3333333333333333,10,100,100,50,1.000713658428892,0.005279803455588126,1.0,1.0,1.0
CES-2,Bernoulli,11.5,30,0.38333333333333336,10,100,100,50,1.0018114438030918,0.007456846003368195,1.0,1.0,1.0027737670431207
CES-2,Bernoulli,13.0,30,0.43333333333333335,10,100,100,50,1.0011044629676389,0.007421584138111783,1.0,1.0,1.0021943739758898
CES-2,Bernoulli,14.5,30,0.4833333333333333,10,100,100,50,1.0013891877595469,0.007403008299076495,1.0,1.0,1.0
max,Bernoulli,1.0,30,0.03333333333333333,10,100,100,50,1.0,0.0,1.0,1.0,1.0
max,Bernoulli,2.5,30,0.08333333333333333,10,100,100,50,0.9999548001440124,0.0002666027238850808,0.999995,1.0,1.0
max,Bernoulli,4.0,30,0.13333333333333333,10,100,100,50,1.0000417334859617,0.0020131335654667588,0.999955,1.0,1.000060003600216
max,Bernoulli,5.5,30,0.18333333333333326,10,100,100,50,1.0001304058238758,0.003980464567583342,0.9998199242727784,1.000040001600064,1.0004201953916456
max,Bernoulli,7.0,30,0.2333333333333333,10,100,100,50,1.000903298128954,0.0042077493225216285,0.999974999699994,1.0001000240072022,1.0012667749886697
max,Bernoulli,8.5,30,0.2833333333333333,10,100,100,50,1.0019766521630842,0.006282722947975389,0.99992999949999,1.0003003365791412,1.0017939340121031
max,Bernoulli,10.0,30,0.3333333333333333,10,100,100,50,1.0026004956593924,0.009356769786365784,0.9998299849954986,1.0002502139866016,1.0018333725213244
max,Bernoulli,11.5,30,0.38333333333333336,10,100,100,50,1.0016560463466193,0.005882958152318394,0.9999599967993121,1.0003701406534486,1.0014822103001495
max,Bernoulli,13.0,30,0.43333333333333335,10,100,100,50,1.0018741364728725,0.006516277455460903,0.9999699969993999,1.000760614504019,1.0030746920751812
max,Bernoulli,14.5,30,0.4833333333333333,10,100,100,50,1.0037578651523609,0.008417313642168694,1.000040002200124,1.0013145644305688,1.004547352409228
modular,Bernoulli,1.0,30,0.03333333333333333,10,100,100,50,0.995457687398384,0.004917451215671054,0.9925426296550156,0.9960617820078822,0.9987552027053126
modular,Bernoulli,2.5,30,0.08333333333333333,10,100,100,50,1.0008234982477218,0.010539039308967324,0.9975543366577472,1.0,1.0065859539329889
modular,Bernoulli,4.0,30,0.13333333333333333,10,100,100,50,1.00243571063446,0.00852058271870338,1.0,1.0,1.0056441656241852
modular,Bernoulli,5.5,30,0.18333333333333326,10,100,100,50,1.002796352939509,0.009998725424149459,1.0,1.0,1.007513984680189
modular,Bernoulli,7.0,30,0.2333333333333333,10,100,100,50,1.000905412822184,0.009086904148457628,1.0,1.0,1.0005606813154235
modular,Bernoulli,8.5,30,0.2833333333333333,10,100,100,50,1.0028853628295469,0.011802628558930429,1.0,1.0,1.0054229504351078
modular,Bernoulli,10.0,30,0.3333333333333333,10,100,100,50,1.0031633742879045,0.013780615397378009,1.0,1.0,1.007409417678692
modular,Bernoulli,11.5,30,0.38333333333333336,10,100,100,50,1.0023267196089116,0.013765166260863418,1.0,1.0,1.0
modular,Bernoulli,13.0,30,0.43333333333333335,10,100,100,50,1.0005257601667046,0.01636214880320619,1.0,1.0,1.0
modular,Bernoulli,14.5,30,0.4833333333333333,10,100,100,50,1.0032246115985852,0.016200909696711053,1.0,1.0,1.0087191346991151
square_root,Bernoulli,1.0,30,0.03333333333333333,10,100,100,50,0.9975655627722522,0.0034927775031447232,0.9957753778352306,0.9979861895082679,1.0
square_root,Bernoulli,2.5,30,0.08333333333333333,10,100,100,50,1.0008124759254915,0.005677158326783057,0.9983519523094936,1.0,1.0043821322683124
square_root,Bernoulli,4.0,30,0.13333333333333333,10,100,100,50,0.9999919629817288,0.004967685477922947,1.0,1.0,1.0016638249520984
square_root,Bernoulli,5.5,30,0.18333333333333326,10,100,100,50,1.000389339733227,0.005889159666073124,0.999345075851234,1.0,1.000356752724602
square_root,Bernoulli,7.0,30,0.2333333333333333,10,100,100,50,1.0012018552649975,0.0056602073883526395,1.0,1.0,1.0027693255284105
square_root,Bernoulli,8.5,30,0.2833333333333333,10,100,100,50,1.001481680516271,0.006330937263105179,1.0,1.0,1.002645606361467
square_root,Bernoulli,10.0,30,0.3333333333333333,10,100,100,50,1.0001147538649755,0.0057436263680459365,1.0,1.0,1.0
square_root,Bernoulli,11.5,30,0.38333333333333336,10,100,100,50,1.0004076205161838,0.007505554416356227,1.0,1.0,1.0
square_root,Bernoulli,13.0,30,0.43333333333333335,10,100,100,50,1.0006785088257015,0.007422345221023922,0.9996742269651202,1.0,1.0009510437002227
square_root,Bernoulli,14.5,30,0.4833333333333333,10,100,100,50,1.0009346216544954,0.008066190686764013,1.0,1.0,1.000176291610136
CES-2,Bernoulli,1.0,30,0.03333333333333333,10,100,100,100,0.9998536778581214,0.001126623243425561,0.9999267621137232,1.0,1.0
CES-2,Bernoulli,2.5,30,0.08333333333333333,10,100,100,100,1.0011079607646591,0.00392870099672224,1.0,1.0,1.0021381608062416
CES-2,Bernoulli,4.0,30,0.13333333333333333,10,100,100,100,1.0019093170816602,0.003550702215510217,1.0,1.0,1.0028343249218592
CES-2,Bernoulli,5.5,30,0.18333333333333326,10,100,100,100,1.0013870201276889,0.004229010476989917,1.0,1.0,1.0036107654859694
CES-2,Bernoulli,7.0,30,0.2333333333333333,10,100,100,100,1.0022949200575515,0.006176590518716934,1.0,1.0,1.0026401382827914
CES-2,Bernoulli,8.5,30,0.2833333333333333,10,100,100,100,1.0011909428620571,0.003820521072756332,1.0,1.0,1.0013083940321812
CES-2,Bernoulli,10.0,30,0.3333333333333333,10,100,100,100,1.0014323143729973,0.00639495673336801,1.0,1.0,1.0000591779868953
CES-2,Bernoulli,11.5,30,0.38333333333333336,10,100,100,100,1.0012771856877591,0.006358863637637817,1.0,1.0,1.0000665025457038
CES-2,Bernoulli,13.0,30,0.43333333333333335,10,100,100,100,1.0024520928070295,0.0075663984897822376,1.0,1.0,1.0030808168676688
CES-2,Bernoulli,14.5,30,0.4833333333333333,10,100,100,100,1.0034098669801028,0.007754296954970881,1.0,1.0,1.0048957923579491
max,Bernoulli,1.0,30,0.03333333333333333,10,100,100,100,1.0,0.0,1.0,1.0,1.0
max,Bernoulli,2.5,30,0.08333333333333333,10,100,100,100,0.9999974001640092,2.6781666383079322e-05,1.0,1.0,1.0
max,Bernoulli,4.0,30,0.13333333333333333,10,100,100,100,1.0001097687211271,0.0006691011618358271,0.99998,1.0,1.0000800080008
max,Bernoulli,5.5,30,0.18333333333333326,10,100,100,100,1.000415902909387,0.0013286575590793705,0.999934996399712,1.0,1.0003553003815795
max,Bernoulli,7.0,30,0.2333333333333333,10,100,100,100,1.0006404519103298,0.0017484812961998351,0.99998,1.000060006000696,1.0005753314914048
max,Bernoulli,8.5,30,0.2833333333333333,10,100,100,100,1.0008843440593238,0.002728439611300483,0.9999399951989676,1.0001200208037928,1.0008408071748878
max,Bernoulli,10.0,30,0.3333333333333333,10,100,100,100,1.0018051692470291,0.006053758441334493,1.000020002100234,1.0002400646174163,1.0017239931555262
max,Bernoulli,11.5,30,0.38333333333333336,10,100,100,100,1.00083678752683,0.003538530491707738,1.0,1.0003502690684305,1.001111450894093
max,Bernoulli,13.0,30,0.43333333333333335,10,100,100,100,1.0010242717951632,0.002437159396001445,1.0,1.0001300292071942,1.0009409587918991
max,Bernoulli,14.5,30,0.4833333333333333,10,100,100,100,1.0012459216639151,0.002574790895670062,1.000020000400008,1.000300102035172,1.0015027196420645
modular,Bernoulli,1.0,30,0.03333333333333333,10,100,100,100,0.9998685600130706,0.0015132241969061495,0.9999923030481432,1.0,1.0
modular,Bernoulli,2.5,30,0.08333333333333333,10,100,100,100,1.0025772848297922,0.0064583676381902285,1.0,1.0,1.005495038634854
modular,Bernoulli,4.0,30,0.13333333333333333,10,100,100,100,1.001230405445716,0.006634056824751966,1.0,1.0,1.002678586688691
modular,Bernoulli,5.5,30,0.18333333333333326,10,100,100,100,1.002596092912296,0.009299641647462529,1.0,1.0,1.0040648182539509
modular,Bernoulli,7.0,30,0.2333333333333333,10,100,100,100,1.0017235837498009,0.01124360409980027,1.0,1.0,1.0044606325287702
modular,Bernoulli,8.5,30,0.2833333333333333,10,100,100,100,1.003126335819153,0.011792016624041337,1.0,1.0,1.0018002944046105
modular,Bernoulli,10.0,30,0.3333333333333333,10,100,100,100,1.0030267908638062,0.012069142945570968,1.0,1.0,1.0005170491364976
modular,Bernoulli,11.5,30,0.38333333333333336,10,100,100,100,1.0034882531218885,0.013804163398499507,1.0,1.0,1.0032369818801974
modular,Bernoulli,13.0,30,0.43333333333333335,10,100,100,100,1.0033097316179298,0.011902755122370145,1.0,1.0,1.0005064089990596
modular,Bernoulli,14.5,30,0.4833333333333333,10,100,100,100,1.0030844125005636,0.012230911324169721,1.0,1.0,1.0003269489817213
square_root,Bernoulli,1.0,30,0.03333333333333333,10,100,100,100,0.9997960396423452,0.0009033566383890867,0.9997271925384228,1.0,1.0
